DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
01/05/2016,8:10,BRONX,10470,40.8974059,-73.8626129,"(40.8974059, -73.8626129)",EAST 234 STREET                 ,WEBSTER AVENUE                  ,,1,0,1,0,0,0,0,0,Unspecified,,,,,3365254,PASSENGER VEHICLE,,,,
01/05/2016,8:08,QUEENS,11377,40.7429437,-73.9168429,"(40.7429437, -73.9168429)",QUEENS BOULEVARD                ,48 STREET                       ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365636,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,8:05,BROOKLYN,11214,40.5934757,-73.984625,"(40.5934757, -73.984625)",STILLWELL AVENUE                ,27 AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3592345,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:00,,,40.6670766,-73.7826497,"(40.6670766, -73.7826497)",,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3365696,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,8:00,,,40.6648434,-73.8222846,"(40.6648434, -73.8222846)",,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3365580,PICK-UP TRUCK,PASSENGER VEHICLE,,,
01/05/2016,8:00,,,,,,RICHMOND TERRACE                ,STUYVESANT PLACE                ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365731,PASSENGER VEHICLE,PICK-UP TRUCK,,,
01/05/2016,8:00,STATEN ISLAND,10309,40.5077536,-74.2300632,"(40.5077536, -74.2300632)",HYLAN BOULEVARD                 ,PAGE AVENUE                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365763,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,8:00,STATEN ISLAND,10306,40.5633177,-74.1169627,"(40.5633177, -74.1169627)",HYLAN BOULEVARD                 ,PENN AVENUE                     ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3366370,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,8:00,STATEN ISLAND,10301,40.6359357,-74.0758465,"(40.6359357, -74.0758465)",BAY STREET                      ,HANNAH STREET                   ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3386514,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:00,QUEENS,11433,40.694701,-73.7834279,"(40.694701, -73.7834279)",169 STREET                      ,110 ROAD                        ,,0,0,0,0,0,0,0,0,Physical Disability,Unspecified,,,,3365698,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
01/05/2016,8:00,MANHATTAN,10018,40.7565272,-73.994019,"(40.7565272, -73.994019)",WEST 39 STREET                  ,9 AVENUE                        ,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3365812,TAXI,SPORT UTILITY / STATION WAGON,,,
01/05/2016,8:00,MANHATTAN,10018,40.7517013,-73.9864003,"(40.7517013, -73.9864003)",WEST 37 STREET                  ,6 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365102,SPORT UTILITY / STATION WAGON,TAXI,,,
01/05/2016,8:00,BROOKLYN,11207,40.6757357,-73.8968533,"(40.6757357, -73.8968533)",PENNSYLVANIA AVENUE             ,ATLANTIC AVENUE                 ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3365421,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
01/05/2016,8:00,BROOKLYN,11206,40.7019114,-73.936979,"(40.7019114, -73.936979)",FLUSHING AVENUE                 ,BUSHWICK AVENUE                 ,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Oversized Vehicle,,,,3365499,SPORT UTILITY / STATION WAGON,LARGE COM VEH(6 OR MORE TIRES),,,
